=== 调试日志生成时间: 2025-10-30 16:46:08 ===

[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/, 深度: 2, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/, 深度: 1, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/恰佬/, 深度: 1, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/直播/, 深度: 1, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/资源/, 深度: 1, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/, 深度: 0, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/db/, 深度: 0, 找到文件: 4个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/bt/, 深度: 0, 找到文件: 0个
[2025-10-30 16:46:09] 文件扫描: 所有文件扫描完成，总计: 269个文件
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/db/, 深度: 1, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/debug/, 深度: 1, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/jar/, 深度: 1, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/js/, 深度: 1, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/json/影视/, 深度: 2, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/json/, 深度: 1, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/lib/, 深度: 1, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/py/, 深度: 1, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/scripts/, 深度: 1, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/bt/, 深度: 2, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/其他/, 深度: 2, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/三级伦理/, 深度: 4, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/中字字幕/, 深度: 4, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/亚洲无码/, 深度: 4, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/亚洲有码/, 深度: 4, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/人妻熟女/, 深度: 4, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/制服丝袜/, 深度: 4, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/国产传媒/, 深度: 4, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/国产精品/, 深度: 4, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/巨乳美乳/, 深度: 4, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/强奸乱伦/, 深度: 4, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/成人动漫/, 深度: 4, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/黑料吃瓜/, 深度: 4, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/, 深度: 3, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/, 深度: 2, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/恰佬/, 深度: 2, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/直播/, 深度: 2, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/资源/, 深度: 2, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/, 深度: 1, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wwwroot/cache/, 深度: 2, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wwwroot/, 深度: 1, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/, 深度: 0, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/db/, 深度: 1, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/debug/, 深度: 1, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/jar/, 深度: 1, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/js/, 深度: 1, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/json/影视/, 深度: 2, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/json/, 深度: 1, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/lib/, 深度: 1, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/py/, 深度: 1, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/scripts/, 深度: 1, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/bt/, 深度: 2, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/其他/, 深度: 2, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/三级伦理/, 深度: 4, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/中字字幕/, 深度: 4, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/亚洲无码/, 深度: 4, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/亚洲有码/, 深度: 4, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/人妻熟女/, 深度: 4, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/制服丝袜/, 深度: 4, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/国产传媒/, 深度: 4, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/国产精品/, 深度: 4, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/巨乳美乳/, 深度: 4, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/强奸乱伦/, 深度: 4, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/成人动漫/, 深度: 4, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/黑料吃瓜/, 深度: 4, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/, 深度: 3, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/, 深度: 2, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/恰佬/, 深度: 2, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/直播/, 深度: 2, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/资源/, 深度: 2, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/, 深度: 1, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wwwroot/cache/, 深度: 2, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wwwroot/, 深度: 1, 找到文件: 0个
[2025-10-30 16:46:09] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/, 深度: 0, 找到文件: 0个
=== 调试日志生成时间: 2025-10-30 16:46:16 ===

=== 调试日志生成时间: 2025-10-30 16:46:16 ===

[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/json/影视/, 深度: 0, 找到文件: 13个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/json/影视/, 深度: 0, 找到文件: 13个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/bt/, 深度: 1, 找到文件: 6个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/bt/, 深度: 1, 找到文件: 6个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/其他/, 深度: 1, 找到文件: 0个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/其他/, 深度: 1, 找到文件: 0个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/三级伦理/, 深度: 3, 找到文件: 2个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/三级伦理/, 深度: 3, 找到文件: 2个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/中字字幕/, 深度: 3, 找到文件: 2个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/中字字幕/, 深度: 3, 找到文件: 2个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/亚洲无码/, 深度: 3, 找到文件: 3个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/亚洲无码/, 深度: 3, 找到文件: 3个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/亚洲有码/, 深度: 3, 找到文件: 2个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/亚洲有码/, 深度: 3, 找到文件: 2个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/人妻熟女/, 深度: 3, 找到文件: 2个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/人妻熟女/, 深度: 3, 找到文件: 2个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/制服丝袜/, 深度: 3, 找到文件: 1个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/制服丝袜/, 深度: 3, 找到文件: 1个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/国产传媒/, 深度: 3, 找到文件: 1个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/国产传媒/, 深度: 3, 找到文件: 1个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/国产精品/, 深度: 3, 找到文件: 1个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/巨乳美乳/, 深度: 3, 找到文件: 2个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/国产精品/, 深度: 3, 找到文件: 1个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/强奸乱伦/, 深度: 3, 找到文件: 2个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/成人动漫/, 深度: 3, 找到文件: 2个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/巨乳美乳/, 深度: 3, 找到文件: 2个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/黑料吃瓜/, 深度: 3, 找到文件: 1个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/, 深度: 2, 找到文件: 23个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/强奸乱伦/, 深度: 3, 找到文件: 2个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/, 深度: 1, 找到文件: 101个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/成人动漫/, 深度: 3, 找到文件: 2个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/恰佬/, 深度: 1, 找到文件: 0个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/黑料吃瓜/, 深度: 3, 找到文件: 1个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/, 深度: 2, 找到文件: 23个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/, 深度: 1, 找到文件: 101个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/直播/, 深度: 1, 找到文件: 58个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/恰佬/, 深度: 1, 找到文件: 0个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/资源/, 深度: 1, 找到文件: 0个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/, 深度: 0, 找到文件: 165个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/直播/, 深度: 1, 找到文件: 58个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/json/影视/, 深度: 0, 找到文件: 0个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/bt/, 深度: 1, 找到文件: 0个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/其他/, 深度: 1, 找到文件: 20个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/资源/, 深度: 1, 找到文件: 0个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/, 深度: 0, 找到文件: 165个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/json/影视/, 深度: 0, 找到文件: 0个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/bt/, 深度: 1, 找到文件: 0个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/三级伦理/, 深度: 3, 找到文件: 0个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/中字字幕/, 深度: 3, 找到文件: 0个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/其他/, 深度: 1, 找到文件: 20个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/亚洲无码/, 深度: 3, 找到文件: 0个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/亚洲有码/, 深度: 3, 找到文件: 0个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/人妻熟女/, 深度: 3, 找到文件: 0个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/三级伦理/, 深度: 3, 找到文件: 0个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/制服丝袜/, 深度: 3, 找到文件: 0个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/国产传媒/, 深度: 3, 找到文件: 0个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/中字字幕/, 深度: 3, 找到文件: 0个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/国产精品/, 深度: 3, 找到文件: 0个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/亚洲无码/, 深度: 3, 找到文件: 0个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/巨乳美乳/, 深度: 3, 找到文件: 0个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/亚洲有码/, 深度: 3, 找到文件: 0个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/强奸乱伦/, 深度: 3, 找到文件: 0个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/人妻熟女/, 深度: 3, 找到文件: 0个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/制服丝袜/, 深度: 3, 找到文件: 0个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/成人动漫/, 深度: 3, 找到文件: 0个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/国产传媒/, 深度: 3, 找到文件: 0个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/黑料吃瓜/, 深度: 3, 找到文件: 0个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/, 深度: 2, 找到文件: 0个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/国产精品/, 深度: 3, 找到文件: 0个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/仙法阁/巨乳美乳/, 深度: 3, 找到文件: 0个
[2025-10-30 16:46:16] 目录扫描: 扫描目录完成: /storage/emulated/0/江湖/wj/影视/, 深度: 1, 找到文件: 0个
